4 15 29 30 33 37 41 42 44 48 54 58 63 74 81 82 89 107 110 117 119 124 129
2 25 29 30 32 36 40 42 47 50 56 60 63 71 77 83 91 96 103 106 110 113 121 127 129
4 11 29 30 32 36 40 42 44 48 53 59 63 71 77 82 88 94 100 107 110 116 122 127 128
20 29 31 33 37 41 42 44 50 55 58 66 71 77 85 92 96 103 104 111 113 119 124 129
4 18 29 31 32 36 40 42 45 50 54 59 63 71 77 83 92 94 102 106 110 116 121 126 128
4 23 29 30 32 36 40 42 47 50 56 62 65 71 77 83 91 96 100 107 110 114 119 125 129
2 25 29 30 32 36 40 42 47 50 56 60 63 71 77 83 91 96 103 106 110 113 122 127 128
18 29 31 33 37 40 42 44 50 55 58 66 71 77 85 92 96 103 104 111 113 119 124 129
3 26 29 30 32 36 40 42 45 49 54 61 63 71 77 83 91 94 101 108 110 116 121 127 128
4 11 29 30 32 37 40 42 44 48 53 59 63 71 77 82 88 94 100 107 110 116 122 127 128
18 29 31 33 37 40 42 44 50 55 58 66 71 77 85 92 96 103 104 111 113 119 124 129
4 27 29 30 32 36 41 42 47 51 56 62 66 71 77 84 91 97 100 108 110 115 121 125 129
4 25 29 30 33 37 41 42 45 50 54 59 65 71 77 84 91 96 103 107 110 113 121 126 128
3 16 28 31 32 35 41 42 47 52 57 62 67 71 76 86 90 96 103 108 110 113 120 124 131
4 18 29 30 32 36 40 42 45 50 54 59 63 71 77 83 88 96 102 106 110 113 121 127 128
4 18 29 30 32 36 40 42 45 50 54 59 63 71 77 83 92 94 102 106 110 116 121 126 128
2 27 29 31 32 35 41 42 47 51 56 62 67 71 77 83 91 96 100 106 111 113 119 123 131
4 25 29 30 33 34 41 42 45 50 54 59 65 71 77 84 91 96 103 107 110 113 121 126 129
2 24 29 30 33 37 40 42 44 48 53 60 63 72 77 82 88 96 99 107 110 113 122 127 128
4 26 29 30 33 36 40 42 45 49 54 61 63 71 77 83 91 94 101 107 110 114 121 127 128
5 25 29 30 33 37 41 42 44 48 53 60 63 68 77 82 91 95 100 107 110 117 121 125 128
3 27 29 30 32 36 41 42 47 51 57 61 67 71 77 84 91 97 100 108 110 115 121 125 131
26 29 30 33 38 40 42 44 48 54 61 63 71 77 83 91 94 101 106 110 116 121 125 129
4 15 29 30 32 36 40 42 44 48 54 60 63 71 77 82 88 94 100 107 110 113 122 127 128
4 15 29 30 33 37 40 42 44 48 54 60 63 71 77 82 88 94 100 107 110 113 122 127 128
4 11 29 31 33 37 40 42 44 48 53 59 63 71 77 82 91 94 101 106 110 116 121 126 128
4 20 29 30 32 36 40 42 44 48 53 59 63 71 77 82 88 94 100 107 110 116 122 127 128
4 12 29 30 33 36 40 42 45 48 55 59 63 71 77 83 88 94 103 107 110 116 121 127 128
5 18 29 30 33 37 40 42 44 48 54 59 63 71 77 82 88 94 100 107 110 116 122 127 128
5 25 29 30 33 37 41 42 44 48 53 60 63 71 77 82 88 94 99 107 110 113 122 127 128
5 8 29 30 32 36 40 42 47 52 57 61 66 71 76 83 91 94 101 106 110 116 119 124 131
4 23 29 30 32 36 40 42 47 50 56 62 66 71 77 83 91 96 100 107 110 114 119 125 130
6 9 29 30 33 36 41 42 47 50 54 60 63 71 77 83 91 96 99 106 110 116 121 125 131
3 27 28 31 32 36 41 42 47 51 57 61 67 71 78 84 90 94 101 108 110 113 121 124 131
2 27 29 30 32 35 41 42 47 51 56 62 67 71 77 84 91 97 100 108 110 115 121 125 131
2 25 29 30 32 37 40 42 44 48 53 60 63 71 77 82 88 94 99 107 109 113 122 127 128
5 8 29 30 32 36 40 42 47 50 55 60 63 71 77 83 91 94 101 108 110 116 121 126 129
6 25 29 30 33 37 41 42 47 50 56 59 67 68 78 85 91 95 101 107 111 114 119 124 130
