Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, 2], [-4, -2], [-2, -4, 1]]",8,8,0.5,3,2.3333333333333335,"[[2, -1], [-4, -2]]","[[-3], [3]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9945623670349969,0.9464562711362908,31.041433443068208,236.48888298791053,237,163,41,19
"[[1, -3], [4, 3]]",8,8,0.5,2,2,"[[1, -3], [3, 4]]","[[1], [-1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9945218979694516,0.9465511428450507,31.041433443068208,237.0738454886317,252,148,43,19
"[[4, -2, -3], [-4]]",6,10,0.625,2,2,"[[-3, -2], [-4]]","[[-1], [1]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.995154986394382,0.9235508338107777,19.62209723345085,327.4344346454827,185,215,36,29
"[[-4, -2, 1], [-2, 1, 3]]",13,3,0.8125,2,3,"[[1, 3, -2], [1, -4, -2]]","[[-3], [3]]",1.0,0.1875,0.1875,1.0,1.0,1.0,0.1875,T-,T+,T+,0.9935345043905462,0.9808017445876341,26.207059734172006,95.63626504071374,340,60,59,5
"[[-4, -1, -2], [2, -3, 4], [2, 4, -1]]",11,5,0.6875,3,3,"[[2, 4, -3], [-4, -1, -2], [2, 4, -1]]","[[2], [-2]]",1.0,0.3125,0.3125,1.0,1.0,1.0,0.3125,T-,T+,T+,0.9908230876104194,0.972746967565277,37.04143344306821,127.82197221522799,310,90,57,8
"[[-1, 4], [-1], [-4, 3, 2]]",7,9,0.5625,3,2,"[[2, 3, -4], [-1]]","[[2], [-2]]",1.0,0.5625,0.5625,1.0,1.0,1.0,0.5625,T-,T+,T+,0.9947079727045848,0.9310810708419002,21.62209723345085,301.9916306461967,189,211,36,26
"[[-3, -2, -4], [-1, 2], [3, 1, -4]]",8,8,0.5,3,2.6666666666666665,"[[2, -1], [1, 3, -4], [-4, -3, -2]]","[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9913617477803378,0.9484939475226857,65.95634243350977,226.7550596897477,249,151,46,18
"[[3], [-1], [2, -1, -3]]",4,12,0.75,3,1.6666666666666667,"[[-1], [3]]",[[]],1.0,0.75,1.0,1.0,1.0,1.0,0.75,T+,T+,T+,0.9946556117743435,0.9616805230650269,14.626395943789367,125.37013436902349,124,276,11,13
"[[-1, 2], [-1, 4, -3]]",11,5,0.6875,2,2.5,"[[2, -1], [4, -3, -1]]","[[4], [-4]]",1.0,0.3125,0.3125,1.0,1.0,1.0,0.3125,T-,T+,T+,0.9940705914633884,0.9682133587750752,24.207059734172006,141.7702997068514,306,94,49,10
"[[-1, -3, 2], [3]]",6,10,0.625,2,2,"[[2, -1], [3]]","[[-2], [2]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9939919680360148,0.9665896199753627,16.62639594378937,102.79844713618229,175,225,14,10
"[[4], [4]]",8,8,0.5,2,1,[[4]],"[[1, 3], [-1], [-3]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972766557269384,0.9363972552969185,11.037134732729697,263.51897658002355,213,187,40,23
"[[-4, 3, -1], [-2, 1, -4], [-2, -1, -4]]",11,5,0.6875,3,3,"[[-4, -2], [3, -4, -1]]","[[1], [-1]]",1.0,0.3125,0.3125,1.0,1.0,1.0,0.3125,T-,T+,T+,0.9940376070090514,0.9680365342217435,24.207059734172006,150.17385374339685,290,110,51,10
"[[3, -2, 4], [-3], [-3, 1, -4]]",6,10,0.625,3,2.3333333333333335,"[[4, -2], [-3]]","[[1, -2], [3], [2], [-4]]",1.0,0.5625,0.5625,1.0,1.0,1.0,0.5625,T-,T+,T+,0.9951742537478672,0.9357120913914109,19.62209723345085,261.40280233247296,173,227,32,29
"[[1, -4, 2], [-2, -3], [-2]]",6,10,0.625,3,2,"[[1, -4], [-2]]","[[1], [-1]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951769168137977,0.9207632642890341,19.62209723345085,342.76808157148895,181,219,33,31
"[[4, -2, 1], [-1, 4, 3], [-2, 1, 4]]",12,4,0.75,3,3,"[[3, 4, -1], [1, 4, -2]]","[[2], [-2]]",1.0,0.25,0.25,1.0,1.0,1.0,0.25,T-,T+,T+,0.9935916884194503,0.9757820996650566,37.04143344306821,119.443676030683,320,80,50,7
"[[1, -2], [3, 1, 4], [-3, -4, -2]]",10,6,0.625,3,2.6666666666666665,"[[1, -2], [-4, -3, -2], [1, 3, 4]]","[[1, -3], [3], [-1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9914041280727287,0.9590295116048722,35.04143344306821,178.5870994375291,269,131,48,13
"[[-4, 3, -2], [-4]]",8,8,0.5,2,2,[[-4]],"[[1], [-1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.997293189236621,0.9378255397668835,11.037134732729697,265.51897658002355,235,165,36,23
"[[2], [3, -4]]",6,10,0.625,2,1.5,"[[3, -4], [2]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.995187273506265,0.9273341124940186,19.62209723345085,310.85301597383597,164,236,32,27
"[[3], [-3, 2, 4]]",6,10,0.625,2,2,"[[2, 4], [3]]","[[-1], [1]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.995168806096388,0.925657827036557,19.62209723345085,316.5288247299091,177,223,34,28
"[[3], [-1, 2, 3]]",8,8,0.5,2,2,[[3]],"[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.996579661667355,0.9715992399567579,9.456470942347055,96.02592330590889,206,194,18,8
"[[3, 2], [4, -1], [-2]]",3,13,0.8125,3,1.6666666666666667,"[[4, -1], [-2], [3]]","[[2, 4], [-3], [-4]]",1.0,0.6875,1.0,1.0,1.0,1.0,0.6875,T+,T+,T+,0.9936370434244002,0.9204491810507102,25.8715084416259,323.4502168185546,108,292,21,42
"[[1, 4, 3], [-4], [-4, -2]]",6,10,0.625,3,2,"[[1, 3], [-4]]","[[2], [-2]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951645380253938,0.9274836952451299,19.62209723345085,314.67160750966025,166,234,34,27
"[[1, -2], [2, 4, -1]]",10,6,0.625,2,2.5,"[[1, -2], [2, 4, -1]]","[[-1], [1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9940355281813479,0.9634346575585625,24.207059734172006,166.22057172664896,275,125,51,12
"[[4, 3, 1], [-2]]",7,9,0.5625,2,2,"[[1, 3, 4], [-2]]","[[4, -3], [2], [-4], [-1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9947239075017977,0.9478355678212532,21.62209723345085,213.77646905942964,191,209,33,24
"[[4], [2, 1, -4]]",6,10,0.625,2,2,"[[1, 2], [4]]","[[2], [-2]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951856913992178,0.9240353261587048,19.62209723345085,315.86525431783343,179,221,31,29
"[[-3, -2, -4], [1], [-3, -2, -1]]",6,10,0.625,3,2.3333333333333335,"[[-3, -2], [1]]","[[-1], [2], [3], [4]]",1.0,0.5625,0.5625,1.0,1.0,1.0,0.5625,T-,T+,T+,0.995160465238941,0.9366592241217183,19.62209723345085,256.8178398317518,180,220,36,30
"[[-3, 4], [1]]",6,10,0.625,2,1.5,"[[4, -3], [1]]","[[-2], [2]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951889432667735,0.9240866371731697,19.62209723345085,324.2008056103796,188,212,35,29
"[[3], [-3, -1]]",4,12,0.75,2,1.5,"[[-1], [3]]","[[-2], [2]]",1.0,0.75,1.0,1.0,1.0,1.0,0.75,T+,T+,T+,0.9946645503328683,0.9557482623283033,14.626395943789367,131.64985698770835,129,271,11,15
"[[-4, -3], [-1, 3, -2], [-4, 2, -3]]",10,6,0.625,3,2.6666666666666665,"[[-4, -3], [3, -1, -2]]","[[4], [-4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9940726459255754,0.9612670893270092,35.04143344306821,184.17794059815796,278,122,49,13
"[[1, -3, 4], [-3, 2]]",11,5,0.6875,2,2.5,"[[2, -3], [1, 4, -3]]","[[1], [-1]]",1.0,0.3125,0.3125,1.0,1.0,1.0,0.3125,T-,T+,T+,0.994100094354787,0.9683715192084802,24.207059734172006,150.17385374339685,278,122,50,10
"[[2, 4, 3], [-4]]",6,10,0.625,2,2,"[[2, 3], [-4]]","[[1, 3], [-1], [-3]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951580768443526,0.9215639838623612,19.62209723345085,323.61584310965844,174,226,34,29
"[[-2], [3]]",4,12,0.75,2,1,"[[-2], [3]]","[[1], [-1]]",1.0,0.75,1.0,1.0,1.0,1.0,0.75,T+,T+,T+,0.9947127675470399,0.9577149500844582,14.626395943789367,127.3155812706361,102,298,10,14
"[[-1], [3, -4], [-3, -1, -2]]",6,10,0.625,3,2,"[[3, -4], [-1]]","[[2], [-2]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9951995363102155,0.9206455804310704,19.62209723345085,338.9494900356647,175,225,33,31
"[[2, -1, 4], [1, -4, -3]]",12,4,0.75,2,3,"[[2, 4, -1], [1, -4, -3]]","[[-4], [4]]",1.0,0.25,0.25,1.0,1.0,1.0,0.25,T-,T+,T+,0.9935744049327605,0.9781800761437481,26.207059734172006,106.81206870206375,330,70,54,6
"[[-1], [-4, 3, -2]]",7,9,0.5625,2,2,"[[3, -4, -2], [-1]]","[[4, -2], [-4], [2]]",1.0,0.5625,0.5625,1.0,1.0,1.0,0.5625,T-,T+,T+,0.9946902203392319,0.9267944183403337,21.62209723345085,312.25657001038144,183,217,34,27
"[[1], [-4], [-1, 2, -3]]",3,13,0.8125,3,1.6666666666666667,"[[2, -3], [1], [-4]]","[[-3, -2], [3], [-1]]",1.0,0.6875,1.0,1.0,1.0,1.0,0.6875,T+,T+,T+,0.9936448584865898,0.9262034840416188,25.8715084416259,300.4224503185475,97,303,20,38
"[[3, 1, 2], [-2, 1], [-1, 3]]",6,10,0.625,3,2.3333333333333335,"[[1, -2], [3]]","[[1], [-1]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9939105512755807,0.9645202744514201,16.62639594378937,112.20084082211899,180,220,15,11
