-2 4 -7 -9 -10 12 13 14 17 18 -21 -23 28 30 -33 -34 -39 40 -48 -49 52 58 -60 61 63 -64 -69 -72 77 -79 81 -83 86 87 89 90 -91 93 97 100
2 3 -5 6 -7 11 14 -18 -20 -24 26 -27 -29 31 -33 36 -37 -45 -46 -52 59 62 -65 -74 78 79 80 81 82 -83 85 -86 -89 -91 92 -93 95 -96 -97 -100
2 3 -5 9 -13 -18 19 21 24 -25 26 -27 -28 -36 38 39 -41 44 46 48 -49 -51 54 56 -60 64 66 67 71 -76 77 -78 -80 -88 -89 -90 -91 -92 95 99
-1 -2 -3 6 -9 -11 -13 -15 -26 29 34 -35 -37 38 -41 -42 45 -48 50 51 -52 -53 -55 -57 59 60 61 64 69 72 -74 78 81 -82 -84 -87 94 -95 97 99
-6 8 -9 -11 12 14 -17 20 -24 29 32 -33 35 -36 44 45 46 -47 -50 -51 -53 -57 58 -59 60 61 67 68 72 -76 78 -84 -85 -88 -89 -91 -95 96 99 100
-2 4 -6 10 -14 -19 21 23 -24 26 28 29 33 -34 -36 -37 -43 44 -45 48 -49 51 -53 55 -57 -59 -60 63 64 66 -67 -69 -76 -81 -86 89 -90 92 -96 -97
-1 -4 5 -8 11 -14 15 -20 23 -24 -26 -29 -30 41 42 49 -52 -53 -57 -58 -59 -60 -61 63 -68 69 -70 71 -72 -74 -75 -76 -81 -83 84 -85 -91 -94 -95 -99
6 -9 -15 16 18 -19 21 -25 27 28 -30 -32 -34 -37 38 39 40 42 53 54 57 -58 60 -61 -62 -70 72 75 79 82 -83 -86 -87 88 -91 92 -93 -94 97 100
3 -5 -7 -10 11 -12 18 20 23 24 -26 -28 -30 33 36 -37 39 -40 41 -42 -43 45 -48 49 50 -51 -56 58 -60 64 72 78 -79 -82 84 85 -86 -89 93 -100
-1 -2 6 -9 -11 -12 -16 20 21 23 24 -26 -27 30 31 35 37 41 43 44 -48 -54 62 65 70 -72 76 -78 79 83 85 -88 -90 91 -93 94 -95 96 -97 99
1 2 4 -10 12 -14 -15 16 22 -23 24 -26 -31 -38 -39 -48 49 53 57 59 62 63 -64 -65 66 68 -69 -74 -75 76 78 -79 -80 83 87 90 -91 93 -97 100
-1 -2 3 -4 -7 9 -10 -11 12 -14 -18 21 -24 25 31 33 37 38 -45 48 -49 50 51 -53 54 -55 -56 -57 -60 -64 -71 75 -81 -83 -85 87 -89 -93 99 -100
-2 -3 -4 -9 -11 -13 15 18 19 20 -22 -23 -25 -33 34 -35 38 39 41 42 -43 44 49 -52 -54 -61 -63 -64 -67 70 -73 -81 83 85 -86 -87 -92 -95 96 -100
3 5 -6 -11 -12 15 -17 18 -26 -32 33 -34 35 -37 42 -44 -45 -47 49 50 -51 52 -57 58 -59 -61 -66 68 71 72 -73 -74 -75 77 80 -83 -84 91 -97 100
