-2 -6 -7 9 12 -17 -21 22 -23 25 -27 29 -30 32 34 40 42 -47 48 -51 -58 -61 63 -66 -67 -68 70 -73 74 -75 -76 -78 79 -80 84 -87 -88 -91 -96 -98
1 -6 -7 9 -10 -14 -15 -16 20 -21 22 -27 -31 -35 39 -41 -44 -45 -49 56 60 -62 -64 -65 -67 -68 -69 71 -73 -81 82 84 87 89 -90 92 94 96 97 99
1 -2 -5 -6 -11 -16 19 -21 -23 -31 34 -36 42 -44 46 48 -49 -52 55 56 -58 -64 -65 -68 -69 70 72 -73 -75 -77 -78 -80 -84 -86 88 -95 96 -98 99 100
1 -5 -6 -8 9 -10 13 -14 -16 -18 22 -24 -27 29 -30 -36 -37 40 -41 -52 53 54 56 -58 -61 -62 71 74 -77 79 -81 -84 85 -86 -87 91 -93 -96 -98 99
1 -2 -10 12 -15 -16 19 20 -26 -27 29 34 -36 38 -44 -45 -47 -49 -51 -52 56 57 60 -62 -65 -66 -67 70 -75 -78 -81 -84 85 -90 -91 -92 -93 -95 -96 100
4 -7 -8 12 -14 20 -23 25 -30 -36 38 39 40 -41 -44 48 -51 -62 63 -64 -68 70 71 -73 74 -76 -77 79 -80 -81 83 85 -88 90 -91 -94 -95 -96 99 100
4 -5 -7 -8 -10 12 13 -17 22 25 -27 29 -30 -33 34 -35 -37 50 -51 -52 53 54 57 -59 60 -62 -68 70 71 -76 -77 -81 82 -84 -87 89 -90 92 94 -98
-7 -14 -15 -17 22 -24 25 -26 -27 -36 -37 38 40 -41 -44 -45 46 -47 53 55 56 60 -61 63 -64 -65 -67 71 -73 -75 -76 -77 -78 85 89 -92 95 -96 -98 -99
1 3 -5 -6 -10 -14 -17 19 -21 -26 29 -30 -31 32 -35 38 42 -43 -44 -45 -58 -59 60 -62 63 -64 70 74 -75 -77 79 -81 83 -84 85 86 -90 97 -98 99
1 -5 -6 -8 9 -11 13 -15 -17 19 22 -23 25 -26 -31 -35 -36 38 40 -44 46 50 57 -61 -62 -64 -66 -67 -68 -69 70 74 -75 -78 -80 83 -86 90 -95 100
-2 3 4 -5 -6 -7 -8 13 -14 -15 -16 -27 -28 29 32 39 -43 -45 -49 -51 55 -58 -59 60 -61 -65 -68 -69 70 71 -73 74 79 -80 83 85 -91 96 97 -99
-2 3 -6 -11 12 -16 -21 22 -23 -24 -26 -27 -30 -31 -33 38 39 -44 46 -49 50 54 56 60 -62 63 -65 -67 -73 -78 79 -80 -81 83 85 87 -90 92 -96 -98
4 -5 -6 -7 -8 9 12 13 -15 -16 19 -21 -23 -24 25 -27 34 -37 38 -45 -51 54 57 -59 -61 -62 -68 -69 70 72 -76 -80 82 88 89 -91 -93 94 96 100
1 4 -11 -14 -18 -24 29 -30 -31 32 38 39 42 -43 -44 48 -51 56 57 -58 -62 -64 -66 -68 -69 70 -73 -75 -77 -78 -81 82 83 -84 85 -90 -91 -94 -99 100
1 4 -5 -6 -8 9 -11 12 -14 -15 20 -21 -24 25 29 -30 -31 -36 -43 -44 48 -52 53 55 57 -59 60 -61 -62 71 -75 -76 -77 -81 82 85 -90 -95 -99 100
