5 14 28 31 32 36 41 42 47 50 56 62 67 70 77 85 90 96 103 108 110 113 121 127 131
3 16 28 31 33 34 41 42 47 51 57 60 67 71 76 86 90 96 103 108 110 113 120 124 131
2 25 29 30 32 35 40 42 44 48 53 62 63 71 77 82 88 94 99 107 109 113 122 127 128
2 25 29 30 32 35 39 42 44 48 53 62 63 71 77 82 88 94 99 107 109 113 121 127 128
26 29 30 32 36 40 42 47 50 56 60 65 71 76 83 91 94 101 106 110 116 119 124 129
4 19 29 30 32 36 40 42 47 50 56 60 67 73 78 86 91 96 100 107 111 114 119 124 129
4 15 29 30 32 36 41 42 47 50 55 60 65 71 77 84 91 97 100 106 110 113 119 124 131
3 25 28 30 32 36 40 42 44 48 54 60 63 71 77 83 90 95 101 108 109 113 122 127 128
2 24 29 31 32 35 39 42 45 50 54 60 65 72 77 83 91 96 99 106 110 113 121 124 129
4 24 29 30 32 36 40 42 45 49 54 60 63 72 77 83 91 96 99 107 110 114 121 127 128
15 28 30 36 40 42 46 50 56 61 63 71 77 83 90 96 101 108 109 113 122 127 128
2 10 29 30 32 36 40 42 44 48 53 59 63 71 77 82 88 94 100 108 110 115 122 127 128
4 24 29 31 32 36 39 42 45 49 54 60 64 72 77 83 91 96 99 106 110 113 121 125 129
13 29 30 32 36 40 42 44 48 53 59 63 71 77 82 88 94 100 108 110 115 122 127
3 25 29 30 32 36 40 42 44 48 54 60 63 71 77 82 88 94 99 107 110 113 121 127 128
9 29 30 33 36 41 42 47 52 56 60 67 71 78 86 91 96 101 106 112 115 118 123 131
3 25 29 30 32 36 40 42 44 48 54 60 63 71 77 82 88 94 99 107 110 113 122 127 128
4 24 29 30 32 36 39 42 45 49 54 60 63 72 77 83 88 96 99 107 110 113 121 124 128
5 14 29 30 32 36 41 42 47 50 56 62 67 70 77 83 91 96 100 106 110 113 119 124 131
3 25 29 30 32 37 40 42 44 48 54 60 63 71 77 82 88 94 99 107 110 113 122 127 128
14 28 31 32 35 41 42 47 52 56 62 67 70 77 85 90 96 103 108 110 113 121 124 129
5 9 29 30 33 36 41 42 47 50 54 60 65 71 78 85 91 96 100 107 110 113 119 125 131
5 14 29 30 32 36 41 42 47 50 56 62 67 70 77 83 91 96 100 106 110 113 119 124 129
3 25 29 30 32 37 40 42 44 48 54 60 63 71 77 82 88 94 99 107 110 113 121 127 128
4 15 29 30 32 36 40 42 46 50 56 61 63 71 77 83 88 96 101 106 110 113 121 127 128
26 28 31 32 36 40 42 47 50 56 60 65 71 77 82 90 94 101 108 110 113 122 127 129
2 12 29 30 32 36 40 42 45 50 54 60 63 71 77 83 91 94 103 107 110 116 121 125 129
