3 5 8 11 15 17 21 25 27
3 6 8 11 15 17 20 25 27
2 6 8 12 15 17 20 24 28
3 5 9 11 15 19 20 23 27
3 6 9 11 15 17 20 25 26
3 6 9 11 14 18 20 25 26
3 5 10 12 16 17 21 23 28
4 5 10 11 16 17 21 24 27
3 6 9 11 14 19 21 23 26
2 7 9 13 14 18 20 25 27
2 6 10 11 15 17 21 24 26
3 6 8 11 14 18 21 23 26
3 5 10 11 15 17 21 23 27
3 6 9 11 14 18 20 23 28
3 6 9 11 16 17 22 23 28
2 6 9 11 15 17 22 24 26
2 5 9 13 15 17 21 25 28
4 7 8 11 16 17 21 24 27
3 6 9 12 14 17 22 23 26
3 7 8 13 15 17 20 25 27
3 7 9 12 14 17 21 23 26
2 5 10 11 16 19 21 24 27
3 5 9 11 16 18 20 23 27
3 7 8 11 15 17 22 25 27
2 5 9 11 15 18 21 25 26
3 5 8 12 15 17 21 23 28
3 5 9 11 15 17 20 25 27
3 7 8 11 15 17 20 24 27
2 6 8 12 15 18 22 23 26
2 5 9 13 16 18 22 23 27
3 6 8 13 15 17 20 23 27
2 5 10 12 15 18 20 23 27
3 5 8 12 15 17 20 25 27
3 6 9 11 16 17 20 23 27
2 5 9 12 16 18 20 23 27
4 6 10 11 15 19 20 24 26
4 7 9 11 14 18 22 23 27
3 5 8 12 15 18 22 23 26
3 6 8 11 15 19 20 24 26
3 7 8 13 15 17 22 23 27
3 6 9 11 16 19 20 23 28
2 5 9 12 15 17 20 24 26
2 5 10 12 14 17 21 24 27
3 5 9 12 14 17 21 25 26
2 5 10 12 15 18 20 25 28
3 7 9 11 15 17 21 23 26
2 5 9 12 15 17 21 25 26
4 5 9 13 15 17 21 23 28
2 5 9 11 14 18 21 25 27
3 5 9 11 14 18 20 25 27
2 6 10 12 15 17 20 24 26
3 6 9 13 14 17 22 25 26
3 5 8 13 15 17 20 24 27
3 6 9 13 16 17 22 23 26
2 6 8 13 15 18 20 24 26
4 5 9 13 15 17 21 25 26
4 5 8 12 15 18 21 23 26
2 6 8 11 14 19 21 24 27
3 5 9 11 15 17 22 23 27
4 7 9 13 15 17 21 23 26
4 7 8 12 15 18 22 23 26
3 6 8 12 14 19 21 23 26
2 5 9 13 15 18 21 23 26
2 7 10 12 15 18 20 25 26
3 7 10 11 15 17 22 23 27
2 5 10 11 14 18 21 24 27
4 5 9 11 14 18 20 24 27
3 5 10 12 14 19 21 25 26
4 5 8 11 16 19 21 24 27
4 5 9 11 16 18 20 25 27
4 5 8 12 15 18 22 23 28
3 6 9 13 14 19 22 23 26
3 5 9 12 16 17 21 23 26
2 5 10 13 14 19 21 24 27
2 6 10 11 15 19 22 24 26
2 5 9 11 14 18 22 24 27
3 7 8 12 14 17 21 23 27
2 5 9 11 16 17 21 24 27
4 6 8 13 15 17 20 24 28
2 7 9 13 15 19 21 23 26
4 7 9 11 15 17 21 23 28
3 6 9 11 14 19 20 25 28
4 6 8 11 15 18 20 24 26
3 6 9 11 14 18 22 23 26
3 6 9 13 16 17 20 23 28
2 5 10 12 15 18 22 23 28
2 7 8 12 15 18 22 23 28
4 5 9 11 15 17 21 23 27
2 5 10 11 15 17 21 24 27
3 5 8 11 15 18 20 25 27
2 6 9 13 15 17 20 24 26
2 7 9 11 14 18 21 23 27
3 5 10 13 15 19 20 23 27
3 5 10 12 15 17 20 23 27
2 7 9 13 14 18 22 23 27
2 5 9 13 15 18 20 23 27
3 6 10 11 15 17 20 23 27
4 7 9 11 15 19 21 23 26
3 6 9 13 14 19 20 23 28
3 5 10 11 15 18 20 23 27
2 5 9 11 16 18 22 25 27
4 5 8 12 15 18 20 23 27
2 7 10 13 14 17 21 24 27
4 5 10 12 15 18 22 23 26
3 5 10 11 15 19 22 23 27
3 7 8 11 15 19 22 23 27
3 7 10 12 16 17 21 23 26
4 5 9 11 15 18 21 23 26
3 5 10 12 16 19 21 23 26
2 6 8 11 15 18 22 24 26
3 6 9 13 14 17 21 23 26
2 5 9 12 15 17 21 23 28
3 5 8 13 15 19 22 23 27
2 7 8 12 15 18 20 23 27
2 6 8 13 15 17 20 24 27
2 6 9 13 14 18 20 23 27
4 5 8 12 14 17 21 24 27
2 6 8 11 15 18 21 23 26
2 7 10 11 14 19 21 24 27
2 6 8 11 15 19 22 24 28
3 6 9 13 14 17 20 24 26
3 6 10 12 14 17 21 23 26
2 6 10 13 15 17 20 24 28
3 6 9 13 14 17 20 23 27
3 5 10 12 14 17 21 24 26
3 7 8 11 15 17 21 23 27
4 6 9 11 15 17 21 23 26
2 5 9 13 14 18 20 24 27
4 6 8 11 15 19 22 24 26
2 7 8 11 15 17 21 24 27
2 6 8 13 14 17 21 24 27
4 5 8 12 15 18 20 24 26
4 5 9 11 16 18 22 23 27
3 5 8 11 15 19 22 25 27
4 6 10 13 15 17 20 24 26
2 5 9 12 15 17 20 23 27
3 6 9 11 14 19 22 23 28
3 6 9 11 14 19 20 23 27
2 7 9 13 15 17 21 23 28
4 5 8 13 16 17 21 24 27
2 5 9 11 15 17 21 24 28
4 6 8 11 15 19 20 24 28
2 7 8 11 14 18 21 24 27
2 7 9 13 15 17 21 25 26
2 7 9 11 15 17 21 23 27
4 5 8 12 15 18 22 25 26
2 6 9 11 15 19 21 23 26
2 6 8 11 16 17 21 24 27
4 5 9 13 16 18 20 23 27
2 6 9 11 14 18 22 23 27
3 5 8 13 14 17 21 24 27
3 5 9 11 15 17 21 23 28
3 7 10 12 14 17 21 23 28
2 5 9 11 15 17 21 25 27
