3 9 -11 12 -14 -17 25 -26 -37 -43 -44 55 57 -62 63 -76 -93 -95 97 101
-6 -8 -11 13 -15 19 -21 -23 -26 -33 -37 39 -51 57 72 -88 -93 -96 -98 101
1 -6 -18 19 25 -31 -33 -47 50 -51 54 57 71 85 86 -88 -93 94 -95 101
1 -2 -5 9 -14 -15 20 29 -35 39 53 63 -75 -77 79 85 86 -93 -99 101
-2 -18 -21 29 -31 -37 -44 57 -58 70 -77 -78 -80 -88 -90 92 96 99 100 101
3 -6 -8 9 -11 -18 20 -28 38 42 -43 50 -52 -68 84 89 92 -93 -95 101
1 4 -7 -11 -14 -26 32 34 40 -51 -61 70 -73 -78 87 90 -91 -93 -95 101
-2 -6 9 13 -14 -27 -31 -37 -44 -51 -52 55 -59 60 -66 -67 -75 -80 -96 101
3 -5 -6 -7 9 -11 -24 25 -27 29 -43 53 55 -58 -59 -69 87 90 94 101
9 -11 -17 -24 -30 -37 39 46 -47 55 60 -61 -68 70 72 74 -78 87 90 101
1 -2 3 -5 13 19 25 29 -30 -31 32 63 -66 -69 70 72 -78 -95 -96 101
1 -2 4 -6 19 -23 25 -27 -33 48 60 -64 79 82 -84 -86 -89 -96 100 101
9 -10 22 -33 46 -47 55 -58 -59 -61 -65 -73 -76 82 88 89 -90 95 96 101
-2 -15 -16 22 29 -30 -33 -35 39 -51 -58 -67 -68 72 -78 82 -91 97 99 101
3 4 -8 12 -16 -28 32 34 -35 38 39 40 42 -52 -58 63 74 88 97 101
4 -5 -10 -18 -23 -35 39 40 -43 -45 -49 50 55 -58 -67 -73 -81 85 99 101
3 -5 -11 -14 -16 -17 34 38 42 -45 -49 -64 72 -76 79 86 -87 97 100 101
-6 -7 19 -24 -27 -31 39 -52 54 56 -58 -59 -62 -66 72 83 88 89 -93 101
4 -5 -14 -17 -21 -23 -28 -31 -33 39 -47 50 -51 -61 -73 74 -81 83 -88 101
-7 13 -14 -17 -18 22 -26 39 46 50 53 -61 63 -66 70 -84 91 -93 99 101
9 -10 19 -35 46 -49 57 -61 -64 -66 -68 -69 70 71 -86 87 -89 90 94 101
1 -15 -26 -35 -36 -45 54 56 -58 -62 -65 -66 -75 -81 -88 92 -93 96 -99 101
-14 20 -21 -27 32 -36 42 -43 46 54 55 -62 70 -78 -81 -84 -93 97 -99 101
9 -14 19 20 -21 -24 40 42 -52 54 57 -62 -68 -81 84 87 -88 -93 -99 101
-5 -7 -11 -18 19 22 -28 32 -33 -36 38 -45 -49 54 -62 -69 -75 -77 87 101
-2 3 -5 -18 25 40 -52 55 -59 63 70 -75 -78 83 -84 91 -92 -94 -95 101
4 -11 13 -16 -17 22 -24 29 -36 -37 -44 -45 -62 -69 70 72 -73 -77 -98 101
-11 -14 -23 -28 -31 -35 -41 48 54 60 -75 -76 79 83 86 -87 89 -95 -98 101
4 -11 19 -26 32 34 42 -44 50 -52 63 -64 -67 -78 -86 87 -92 -96 100 101
-2 -7 -15 -16 -23 -26 -28 -30 -31 38 40 42 -43 46 -47 48 -73 85 86 101
1 -7 22 -31 -37 38 46 48 50 -52 56 -64 72 79 85 -86 -92 97 -98 101
4 -10 -21 -27 -35 40 -44 -47 54 55 -62 -66 -69 -76 -77 -80 82 -84 85 101
9 -11 -15 -16 -18 -21 -23 -26 -30 39 40 48 -49 57 -64 -75 -76 85 100 101
1 -5 -7 -14 19 -24 34 -35 38 -45 -49 -52 -59 -67 -80 -88 -95 -96 99 101
-2 3 -11 13 -26 -28 34 -41 -44 -52 53 -65 72 -76 83 -87 88 97 100 101
3 13 -16 -17 -18 -45 46 53 57 60 -62 63 -64 70 72 -78 -80 97 -98 101
-2 3 4 -16 -18 32 -33 -43 46 -47 50 57 -61 -62 -65 -67 71 -88 97 101
-5 -6 -11 -14 -16 -18 -23 34 -35 -37 39 42 -45 54 55 -59 -67 -96 97 101
12 -15 25 -31 -43 46 -49 -52 -68 70 72 -73 -78 79 85 86 -87 -88 -95 101
-2 -16 20 22 -23 32 -33 -35 42 -45 -52 54 -59 -62 -73 -75 -77 79 -84 101
1 -5 -7 20 -21 -27 32 -36 38 -51 -69 -78 82 -92 94 -96 97 -98 100 101
-5 -11 -17 19 -21 32 40 -45 48 53 55 -58 -64 -65 -67 -68 -81 -91 -96 101
1 9 -16 25 -30 34 -37 -52 56 -64 72 -75 -76 -84 -89 90 -93 -95 97 101
-6 -11 -17 -24 25 -26 29 34 -36 38 39 54 -58 60 -68 72 85 -88 -90 101
1 -8 9 -10 12 -18 39 50 57 -58 -61 -64 -67 72 -73 -84 87 -93 100 101
3 9 -11 -37 38 40 -44 -49 53 60 63 -67 70 71 87 -91 -93 94 99 101
-8 -15 20 -27 -31 32 -37 50 -52 -61 63 -66 -75 -76 -78 82 -87 -92 -95 101
-2 3 -7 -18 22 -31 38 -44 46 57 -58 -68 71 -75 -77 85 -93 96 99 101
-8 9 -28 -30 -33 -36 -47 48 -52 54 -58 -62 -67 72 74 79 82 -84 100 101
12 -15 19 -26 -27 32 -37 40 -49 57 -58 -61 -62 -64 -76 85 -91 92 -94 101
-8 -14 20 22 -30 38 42 -49 50 -59 60 -64 -69 70 85 -86 90 -91 95 101
9 -11 22 -27 -31 -44 46 -47 -51 60 -61 63 -64 70 74 -75 -84 89 100 101
1 -2 -18 22 -23 -26 32 34 -36 -43 -45 -47 55 -65 -67 71 -78 85 -92 101
-5 -8 20 25 -28 29 -31 -33 46 57 60 -61 -64 -65 -66 71 -78 -93 -95 101
4 -6 -11 -15 -26 -28 42 48 -49 53 56 60 -61 -69 -73 82 -87 94 -99 101
19 22 -23 -31 42 48 53 55 -58 -59 -61 -62 -64 -68 -76 85 -86 -98 100 101
4 9 13 19 22 -24 -28 -36 -37 38 50 -62 70 72 -75 83 89 -98 100 101
-7 -8 -11 13 22 -23 -30 32 -43 -45 -47 54 -66 71 72 -75 83 87 94 101
1 -2 -21 22 -35 -43 54 56 -59 -62 63 -80 -81 83 -89 -93 94 -95 -98 101
3 9 -11 -23 29 -31 -37 40 -47 50 -59 -65 -69 79 -81 84 87 -95 99 101
9 -15 -18 -21 32 38 42 -43 -45 -52 -58 -59 -69 74 83 86 -94 -96 100 101
-5 -8 -16 -17 -18 20 32 -52 55 72 74 -78 82 -88 -90 -91 94 97 -99 101
-11 19 -21 25 -26 39 -43 50 -51 -52 54 57 -67 -69 -77 79 82 -91 -93 101
-6 -8 12 25 -30 32 -33 -41 -44 -49 54 57 72 -73 79 -81 83 86 -96 101
-2 -7 -10 -16 19 -24 -27 -35 42 -44 46 -49 -52 55 79 -80 83 -89 -96 101
1 -11 19 -33 34 -35 -37 39 -44 -45 53 -59 63 -69 70 79 -84 -93 99 101
-2 3 -7 -10 -11 -14 -16 19 -23 -35 39 42 -45 -51 -52 53 60 82 94 101
3 -18 19 32 -37 -41 -43 -44 -49 -52 53 55 60 -62 -68 82 -91 -93 -98 101
3 -7 9 -17 -21 -26 -28 -31 32 34 -41 42 -51 54 -59 60 -78 88 -91 101
1 19 -21 -23 -27 -28 39 -41 42 46 56 57 63 -65 -69 -73 -76 -77 82 101
3 4 9 13 19 20 -31 -35 38 -41 -45 46 57 -61 -62 -66 -78 85 90 101
-2 3 -7 9 19 20 22 25 -28 32 -35 48 55 -66 71 -80 -86 -90 100 101
-2 -8 13 -15 19 -23 -30 -33 42 54 55 -69 74 -78 -80 -84 92 97 100 101
1 3 -6 -15 -17 -30 -31 39 40 -45 48 -51 57 -67 -69 70 83 91 -95 101
-7 9 -15 20 -21 -31 40 46 48 53 56 -59 60 -65 -66 -69 -77 86 99 101
-5 -7 -8 -18 -21 -36 39 -49 -52 60 -62 -75 -78 -80 82 -84 -90 -95 100 101
