5 11 12 14 16 20 26
3 8 12 14 16 22 26
2 7 12 14 16 23 27
6 11 12 14 16 20 26
5 7 12 14 16 21 27
6 10 12 14 16 21 27
3 11 12 14 16 20 26
4 11 12 14 16 20 26
5 7 13 14 16 23 27
5 8 12 14 17 23 27
2 7 12 14 17 23 27
2 10 12 14 16 23 27
5 7 12 14 16 21 27
5 7 12 14 16 23 27
6 10 12 14 16 23 27
6 7 12 14 16 23 27
2 7 12 14 16 23 27
2 7 12 14 19 21 27
3 11 12 14 16 20 26
5 11 12 14 19 21 26
5 7 12 14 16 23 27
5 11 12 14 16 20 26
2 7 12 14 16 23 27
2 8 12 14 16 20 26
6 11 12 14 16 23 27
6 11 12 14 19 20 26
2 7 12 14 16 23 27
6 7 12 14 16 23 27
5 7 13 14 16 20 26
2 8 12 14 16 23 27
6 10 13 15 16 20 26
6 7 12 14 16 23 27
5 11 12 14 16 20 26
4 11 12 14 16 20 26
5 11 12 14 16 20 26
2 7 12 14 16 21 27
5 7 12 14 16 23 27
6 11 13 14 16 20 25
2 11 12 14 16 23 27
6 7 12 14 16 23 27
5 11 12 14 16 20 26
6 10 12 14 19 23 27
2 11 12 14 16 23 27
2 7 12 14 16 23 27
3 7 12 14 16 23 27
5 7 12 14 16 23 27
5 11 12 14 16 20 26
2 7 12 14 16 20 26
4 7 12 14 19 21 27
2 11 13 14 19 21 26
3 11 12 14 16 20 26
5 11 12 14 16 20 26
2 7 12 14 16 23 27
2 8 12 14 16 23 27
2 7 12 14 16 23 27
6 7 12 14 16 23 27
2 11 12 14 16 20 26
2 11 12 14 16 20 26
3 7 12 14 16 23 26
6 7 12 14 16 23 27
2 7 12 14 16 23 27
2 7 12 14 16 23 27
6 7 12 14 17 23 27
2 7 12 14 16 23 27
4 11 12 14 16 20 26
2 8 12 14 16 22 26
5 7 13 14 16 21 26
6 9 12 14 16 20 26
2 7 13 14 16 23 27
2 11 12 14 19 21 27
6 7 12 14 16 22 27
5 11 12 14 16 20 26
5 7 12 14 19 23 27
5 11 12 14 16 20 26
2 11 12 14 16 23 27
2 7 12 14 16 23 27
5 11 12 14 19 20 26
2 7 12 14 16 23 27
6 8 12 14 16 23 27
5 7 12 14 16 23 27
5 8 12 14 19 23 27
5 11 12 14 16 20 26
3 11 12 14 16 23 27
5 11 12 14 19 20 26
6 7 12 14 16 20 26
2 7 12 14 18 23 27
4 11 12 14 16 23 27
6 10 12 14 17 23 27
3 11 12 14 16 23 26
6 11 12 14 19 20 26
5 9 12 14 19 23 27
2 7 12 14 16 20 26
5 11 12 14 16 20 26
3 11 12 14 18 20 26
5 11 12 14 16 20 26
5 7 12 14 16 23 27
5 8 12 14 19 20 26
2 11 12 14 16 22 27
5 10 13 14 19 21 26
5 11 12 14 16 23 27
3 7 12 14 16 23 27
3 11 12 14 16 20 26
2 10 12 14 16 20 26
5 11 12 14 19 20 26
3 11 12 14 16 20 26
6 9 12 14 16 23 27
5 11 12 14 16 20 26
5 7 12 14 18 23 27
6 7 12 14 16 21 27
2 7 12 14 16 22 26
4 11 12 14 16 20 26
5 11 12 14 16 21 26
2 11 12 14 16 23 27
5 11 12 14 19 20 26
3 7 12 14 16 23 27
2 7 12 14 16 23 27
2 7 12 14 18 23 27
2 7 12 14 16 23 27
3 11 12 14 16 20 26
2 10 12 14 16 23 27
5 11 12 14 16 20 26
6 11 12 14 16 20 26
3 10 12 14 18 23 27
2 11 12 14 16 23 26
2 7 12 14 16 23 27
6 11 12 14 19 20 26
2 7 12 14 16 23 27
4 11 12 14 19 20 26
3 7 12 14 16 23 27
2 11 12 14 16 23 26
2 11 12 14 19 20 26
2 11 12 14 19 21 27
2 7 12 14 16 21 27
5 11 12 14 16 20 26
2 7 12 14 16 23 27
2 7 12 14 16 23 27
5 11 12 14 19 20 26
3 8 12 14 17 23 27
2 7 12 14 16 23 27
6 11 12 14 16 23 26
5 9 12 14 16 21 27
2 8 12 14 16 20 26
5 11 12 14 16 20 26
2 11 12 14 16 23 27
6 7 12 14 16 20 26
2 7 12 14 16 23 27
6 11 12 14 19 20 26
6 11 12 14 19 21 27
2 8 12 14 19 23 27
3 11 12 14 16 20 26
5 7 12 14 16 23 27
2 11 12 14 16 20 26
2 7 12 14 16 23 27
6 7 12 14 16 23 27
4 11 12 14 16 20 26
5 11 12 14 17 20 26
3 7 12 14 16 23 27
2 7 12 14 16 23 27
5 11 12 14 16 20 26
2 11 12 14 16 23 27
6 7 12 14 16 23 27
4 7 12 14 16 23 27
2 7 12 14 16 20 26
2 7 12 14 16 23 26
6 7 12 14 16 23 27
6 11 12 14 16 20 26
2 11 13 14 16 23 27
2 11 12 14 16 23 27
2 11 12 14 19 20 26
6 10 12 14 16 23 27
5 11 12 14 19 20 26
6 11 12 14 16 20 26
2 11 12 14 16 23 27
3 11 12 14 17 23 27
2 10 12 14 16 23 27
3 7 12 14 19 20 26
