-2 -8 -14 19 22 30 -33 38 -43 53 55 57 65 -71 81 -82 -89 -92 -93
3 7 9 19 -20 -22 -35 40 -44 -51 -55 59 -61 -65 -73 80 87 97 100
14 -20 21 22 -32 43 -44 51 52 -57 59 64 -71 -74 -77 -84 -92 95 98
4 9 -22 26 28 33 34 36 -39 -44 -58 60 66 -68 80 -84 -89 91 98
2 12 14 20 21 -30 -37 -41 -44 47 -50 -59 -66 -67 -87 -88 -90 -94 -98
-10 12 -18 -24 26 28 29 -43 -45 -54 62 68 73 -75 79 -88 90 96 -99
3 4 7 9 17 -19 -36 -41 45 -52 55 -65 -66 -69 -75 -85 -91 -95 96
-4 18 22 -23 -24 25 -29 -31 -40 -46 49 -50 51 -57 -68 69 -77 99 100
12 20 -25 -27 30 32 -38 44 46 -48 59 71 78 -82 83 87 -92 -96 97
2 3 4 12 -17 18 20 -41 -43 -44 54 55 56 -68 80 -83 87 -91 -100
-3 -10 -13 -20 22 -23 -28 43 55 -56 57 -59 -61 64 67 -82 83 84 -94
-3 4 -9 -13 14 29 30 37 -41 46 -53 -60 -66 -69 80 85 86 97 -98
-2 3 -5 -9 -13 18 -30 -38 -40 -42 -52 -55 61 -68 -75 -83 90 -95 -100
3 -4 5 -17 27 30 -38 41 -46 47 48 62 74 82 83 85 88 89 96
-2 6 7 -15 20 28 -30 36 -44 46 -55 -58 -59 -65 66 -80 -88 98 -100
4 9 24 -30 -31 38 42 44 45 -46 49 55 -65 66 -82 -85 -89 92 93
7 -9 11 12 -22 -28 35 -47 49 54 -55 -60 75 -85 92 94 -95 -96 -100
-10 -19 20 -30 42 44 -58 64 -70 -72 73 74 75 -77 83 85 -87 -94 -96
1 -6 -25 29 -36 37 39 42 45 52 60 -65 69 70 -74 -82 -91 96 100
2 -6 8 12 13 -23 -29 -32 41 44 -47 50 63 69 -79 -80 91 -93 -96
8 -13 -20 -22 -25 27 28 38 -40 -47 56 58 70 -72 75 86 -94 -95 97
-5 -7 -9 -11 -24 30 -42 -43 44 46 -48 -52 56 60 -61 67 68 80 88
10 -18 24 31 -36 40 -43 -47 -56 59 -60 -61 66 67 -82 86 91 -93 -99
-3 -11 16 -20 22 23 -25 41 -42 -49 -54 -56 -60 63 -66 -83 -86 89 90
-6 -11 13 23 -27 -37 -39 -40 42 45 -48 -50 53 80 81 -85 90 -92 97
-1 -13 17 -21 -23 -26 28 -33 -39 -41 43 54 56 -57 68 -69 -72 84 90
4 6 -11 16 28 31 -32 33 -39 -44 -59 -65 74 75 -77 -81 91 94 -100
2 -9 -19 -21 -27 -33 -34 36 -41 -59 -64 69 72 -76 85 -90 91 93 -98
-8 -11 13 18 22 25 31 -41 -44 -49 53 -58 60 -61 -74 -77 -85 -89 90
-2 -7 -13 -16 -22 27 -37 41 -46 63 -64 71 74 -76 79 80 -87 98 -100
-5 -7 10 -11 26 35 37 -46 -47 52 58 68 69 -77 78 -80 -87 90 100
17 19 -20 -26 -34 36 -37 40 43 52 -53 -56 57 59 -79 81 -88 91 95
4 6 9 13 15 17 -19 -37 -43 50 -55 66 68 -74 -85 -87 -92 -93 -100
1 -7 -12 14 -15 -23 24 -29 32 35 -36 -41 -49 64 -66 -78 -82 94 96
4 7 -9 26 28 -34 -36 -39 -47 -51 54 -55 57 59 -64 66 -67 78 79
-3 5 11 -17 20 -34 37 -43 -46 47 -52 54 -59 68 69 87 -88 -93 -98
2 -12 -16 18 -22 -27 33 36 -39 41 -45 47 48 -75 -77 -80 -83 -90 96
5 -7 -18 -20 24 -29 -36 42 44 -46 48 51 56 -66 -74 -80 81 91 -96
-1 -6 -11 -12 17 26 -27 -32 34 37 -52 55 -57 -74 79 80 81 85 -90
1 2 4 -9 -16 -31 -56 57 -58 -64 77 -80 83 -84 -86 90 93 96 -97
-1 6 17 18 -22 26 -35 -37 41 -43 53 -57 61 -64 -74 75 80 -92 100
